"TAVE_ABS","TAVE_MEAN","CHA_ABS","CHA_MEAN","AERA"
"1",15.55,11.95,35.625,85.625,"阿里山"
"2",9.975,17.525,38.75,88.75,"鞍部"
"3",3.875,23.625,22.125,72.125,"板橋"
"4",3.6,23.9,29.125,79.125,"成功"
"5",2.95,24.55,26,76,"嘉義"
"6",2.2375,25.2625,22.75,72.75,"大武"
"7",2.8875,24.6125,28.25,78.25,"東吉島"
"8",1.2125,26.2875,22.375,72.375,"恆春"
"9",4.075,23.425,24.75,74.75,"新竹"
"10",3.5375,23.9625,26.375,76.375,"花蓮"
"11",1.2125,26.2875,21.75,71.75,"高雄"
"12",4.375,23.125,24.625,74.625,"基隆"
"13",5.775,21.725,26.375,76.375,"金門"
"14",4.7375,22.7625,33.375,83.375,"蘭嶼"
"15",7.95,19.55,33.25,83.25,"馬祖"
"16",3.225,24.275,28,78,"澎湖"
"17",5.1875,22.3125,30.875,80.875,"彭佳嶼"
"18",4.3875,23.1125,28.5,78.5,"蘇澳"
"19",8.0625,19.4375,31.625,81.625,"日月潭"
"20",3.375,24.125,25.375,75.375,"臺中"
"21",2.425,25.075,23.5,73.5,"臺南"
"22",3.625,23.875,20,70,"臺北"
"23",2.6125,24.8875,24.375,74.375,"臺東"
"24",4.3875,23.1125,25.75,75.75,"淡水"
"25",3.95,23.55,26.5,76.5,"梧棲"
"26",4.3375,23.1625,29.25,79.25,"新屋"
"27",4.3,23.2,30.375,80.375,"宜蘭"
"28",22.9875,4.5125,26.125,76.125,"玉山"
"29",8.325,19.175,33.25,83.25,"竹子湖"
