"AREA","TAVE","TMAX","TMIN","RF","MWUTM","IW","CHA","CHM","PS","RD","SS","TIME"
"1","阿里山",14.6,"21.7/20","9.3/10","276.5","5.6/140.0/22","15.6/120.0/22",92,"47/26",763.4,17,131.2,"200808"
"2","鞍部",23,"28.6/19","18.6/9","7","11.0/180.0/20","21.6/180.0/5",86,"60/26",916.9,4,157.2,"200808"
"3","板橋",29.5,"36.2/26","24.4/11","145.7","8.0/90.0/20","14.4/90.0/4",71,"46/26",1006,5,238.6,"200808"
"4","成功",28,"33.3/20","24.2/2","107.1","13.7/220.0/22","19.7/180.0/23",78,"54/21",1003.1,11,247.1,"200808"
"5","嘉義",28.6,"34.4/2","23.7/23","290","7.7/240.0/23","16.5/210.0/22",78,"48/22",1004.6,12,231.1,"200808"
"6","大武",27.9,"34.7/23","22.8/9","236.8","6.7/20.0/4","16.3/30.0/20",80,"51/23",1006.6,13,237.1,"200808"
"7","東吉島",28.2,"32.4/19","23.7/23","59.1","17.5/220.0/22","24.7/220.0/22",82,"67/21",1002.7,7,275.6,"200808"
"8","恆春",28.1,"33.8/19","24.1/21","423.2","8.5/50.0/20","17.5/60.0/20",82,"53/19",1004.6,12,208.2,"200808"
"9","新竹",29.2,"35.1/22","24.5/10","19.2","6.3/280.0/23","18.3/330.0/22",74,"44/26",1003.5,5,247.6,"200808"
"10","花蓮",28.3,"33.5/23","23.6/10","111.8","9.9/170.0/22","16.3/170.0/22",77,"19694",1005.2,9,276.9,"200808"
"11","高雄",28.7,"34.1/21","23.3/22","162","9.2/180.0/22","20.2/200.0/22",79,"52/21",1006.9,16,240.1,"200808"
"12","基隆",29.4,"36.5/21","25.2/15","27.1","9.0/140.0/21","18.1/140.0/21",72,"43/26",1003.4,6,244.1,"200808"
"13","金門",27.8,"34.5/20","23.6/22","67.3","9.6/190.0/22","18.7/200.0/22",89,"61/21",1003.9,5,228.6,"200808"
"14","蘭嶼",25.8,"30.1/13","22.2/6","152","17.9/270.0/11","27.2/220.0/11",90,"66/13",971.3,15,164.6,"200808"
"15","馬祖",27.4,"34.2/13","24.3/29","13.9","10.0/210.0/22","17.1/210.0/21",92,"60/19",996.9,7,254.6,"200808"
"16","澎湖",28.4,"33.6/20","22.7/23","94.7","8.4/170.0/23","17.5/120.0/21",85,"60/20",1006.5,7,280.7,"200808"
"17","彭佳嶼",27.8,"32.2/15","24.5/31","7.8","19.7/150.0/21","26.4/160.0/21",84,"64/25",995.5,2,297.9,"200808"
"18","蘇澳",28.6,"33.9/21","23.9/10","24.7","11.3/160.0/20","19.9/160.0/20",75,"50/22",1004.5,6,259,"200808"
"19","日月潭",23,"30.8/26","19.1/11","115.6","6.6/310.0/13","11.8/330.0/13",84,"49/21",898.7,12,149.9,"200808"
"20","臺中",28.7,"35.1/22","23.4/6","50.7","5.4/210.0/22","13.7/240.0/22",75,"43/22",997.7,11,187.4,"200808"
"21","臺南",29.2,"34.9/21","23.6/22","84.5","12.7/190.0/21","23.3/190.0/21",72,"46/21",1004.8,10,219.9,"200808"
"22","臺北",29.7,"36.8/26","23.6/24","281.3","8.8/70.0/23","16.4/60.0/4",70,"41/26",1006.1,8,226.9,"200808"
"23","臺東",28.4,"33.5/21","23.7/11","322.2","7.2/200.0/22","13.9/210.0/22",79,"54/21",1006.5,14,257.3,"200808"
"24","淡水",29.1,"36.0/20","24.7/9","0.6","5.8/150.0/20","16.5/160.0/5",73,"49/28",1004.8,1,254,"200808"
"25","梧棲",28.7,"34.3/22","23.4/23","14.1","11.3/230.0/22","20.3/210.0/22",75,"48/22",1004.3,8,260.5,"200808"
"26","宜蘭",28.8,"35.5/21","23.9/10","97.8","9.4/110.0/20","15.1/170.0/20",76,"56/21",1006.3,6,270.6,"200808"
"27","玉山",7.4,"19.3/19","2.1/9","102.7","22.1/130.0/21","26.4/140.0/21",82,"30/27",643.6,13,205,"200808"
"28","竹子湖",24.9,"32.2/19","20.6/10","21.3","6.1/30.0/7","12.3/10.0/7",84,"64/26",940.4,7,191.8,"200808"
"29","阿里山",14,"22.3/22","9.9/2","2525.8","9.1/290.0/28","28.5/0/28",95,"60/27",762.3,23,86.2,"200809"
"30","鞍部",21.5,"27.9/21","16.6/30","1808.5","18.3/350.0/13","42.2/0/28",92,"41/21",916.1,19,94.5,"200809"
"31","板橋",27.7,"35.0/18","21.8/30","965.8","13.4/40.0/28","31.7/40.0/28",76,"18810",1005.7,18,170.7,"200809"
"32","成功",27.7,"36.1/14","23.9/6","271.8","23.4/220.0/29","35.5/220.0/29",79,"43/14",1001.6,20,120.1,"200809"
"33","嘉義",27.5,"34.5/24","22.5/7","632","12.5/260.0/29","22.8/0/29",85,"19511",1003.8,17,151.9,"200809"
"34","大武",27.8,"33.8/17","23.2/6","448.2","10.9/20.0/22","23.1/20.0/22",79,"19268",1005.5,20,154.2,"200809"
"35","東吉島",27.8,"32.6/6","23.3/29","149","26.5/310.0/28","35.4/0/28",82,"24563",1002.2,4,176.4,"200809"
"36","恆春",28.2,"33.1/18","24.1/28","181.1","14.4/40.0/22","31.8/0/22",80,"21033",1003.8,15,166.3,"200809"
"37","新竹",27.9,"35.1/26","21.6/30","705.1","13.8/10.0/28","33.9/110.0/28",77,"15554",1002.9,12,172.6,"200809"
"38","花蓮",27.2,"33.3/14","23.4/30","555.2","22.8/150.0/28","39.6/0/28",82,"49/14",1004.7,22,130.2,"200809"
"39","高雄",28.3,"33.8/7","24.2/29","293","12.6/320.0/28","23.4/0/28",81,"19176",1006.3,17,163.8,"200809"
"40","基隆",27.4,"33.6/25","21.8/2","852.5","23.6/10.0/13","39.6/0/13",76,"54/16",1003.2,18,144.1,"200809"
"41","金門",28,"35.0/22","23.1/30","27.4","9.8/50.0/23","25.0/0/23",82,"53/30",1004.8,6,189.7,"200809"
"42","蘭嶼",25.6,"29.8/18","22.1/28","474.2","36.4/240.0/13","52.8/230.0/13",89,"24077",969.9,18,92.2,"200809"
"43","馬祖",26.2,"32.2/16","21.0/1","129.1","17.6/10.0/28","33.5/0/28",85,"54/16",998.4,12,172.1,"200809"
"44","澎湖",28,"33.1/17","22.9/29","124.1","14.6/340.0/28","30.3/0/28",84,"22737",1006.2,6,182.4,"200809"
"45","彭佳嶼",26.2,"30.4/7","21.2/30","987.8","37.1/120.0/28","55.2/0/28",88,"23043",995.3,17,195.6,"200809"
"46","蘇澳",27,"32.1/1","23.1/30","815.9","37.2/120.0/28","62.4/0/28",82,"61/17",1003.8,21,111.6,"200809"
"47","日月潭",22.4,"32.2/23","18.1/29","1391.5","13.9/270.0/14","32.2/0/14",84,"44/23",897.4,17,111.8,"200809"
"48","臺中",27.6,"35.4/22","22.3/30","829.7","12.1/340.0/28","29.7/0/28",81,"48/22",996.3,16,143.9,"200809"
"49","臺南",28.6,"36.1/24","23.5/29","356.5","13.7/300.0/28","26.5/0/28",82,"54/24",1004.2,14,144,"200809"
"50","臺北",27.8,"35.0/19","22.1/30","957.1","14.5/20.0/28","37.0/0/28",76,"19176",1005.9,19,169.6,"200809"
"51","臺東",28.2,"37.8/13","24.2/28","308","9.8/200.0/29","24.5/0/14",78,"36/13",1005,16,156.1,"200809"
"52","淡水",27.4,"34.6/18","21.6/30","1084","9.4/20.0/13","25.5/0/29",79,"43/21",1004.6,15,167.6,"200809"
"53","梧棲",27.5,"33.2/23","20.3/29","585.2","31.0/330.0/28","46.1/0/28",82,"21551",1003.3,10,185.3,"200809"
"54","宜蘭",27.3,"34.1/16","22.6/30","941.7","29.6/70.0/28","48.5/60.0/28",78,"52/16",1005.7,16,149.3,"200809"
"55","玉山",6.5,"17.0/20","2.2/11","1558.1","25.0/130.0/23","31.6/0/29",91,"43007",642.3,23,87.1,"200809"
"56","竹子湖",23.2,"30.9/19","18.7/30","1832","7.8/220.0/28","26.6/0/13",89,"49/21",939.8,20,123.3,"200809"
"57","阿里山",13.2,"20.5/15","7.1/21","118.5","4.8/140.0/7","9.2/150.0/6",93,"51/22",767,10,145.3,"200810"
"58","鞍部",19.3,"27.8/25","15.3/7","439.5","10.5/330.0/7","20.3/100.0/16",89,"56/31",923.1,19,78,"200810"
"59","板橋",25.9,"33.3/31","20.8/29","26.9","6.8/70.0/11","13.4/80.0/16",75,"53/23",1013.9,5,158.3,"200810"
"60","成功",26.3,"31.0/4","22.7/7","113.1","9.9/40.0/27","15.5/40.0/15",76,"63/20",1010.2,14,131.8,"200810"
"61","嘉義",26.5,"32.5/5","21.3/28","50.9","5.5/240.0/6","9.5/250.0/6",84,"56/22",1010.6,3,207.6,"200810"
"62","大武",26.7,"31.4/6","22.2/7","123.6","8.4/20.0/17","16.7/30.0/17",75,"59/31",1013.5,10,188.4,"200810"
"63","東吉島",26.4,"30.8/20","24.2/7","57","15.4/20.0/11","20.3/10.0/15",80,"24869",1008.9,2,215.2,"200810"
"64","恆春",27.4,"32.0/31","22.2/23","35.1","11.6/40.0/11","23.1/50.0/11",74,"56/26",1010.5,9,224.3,"200810"
"65","新竹",26.1,"32.8/16","21.0/7","28.9","6.9/30.0/14","18.4/80.0/15",73,"51/18",1010.7,2,219.3,"200810"
"66","花蓮",25.7,"30.5/31","22.1/8","226.9","9.6/30.0/7","19.1/20.0/7",81,"21763",1013.6,22,136.4,"200810"
"67","高雄",27.8,"32.6/31","23.8/7","26.5","4.8/310.0/31","8.1/180.0/7",78,"51/31",1012.9,1,211.8,"200810"
"68","基隆",25.1,"31.2/31","20.8/7","327","9.9/10.0/6","15.6/360.0/6",78,"58/28",1011.4,17,104.6,"200810"
"69","金門",24.5,"30.5/10","19.8/6","163.1","7.5/60.0/6","16.9/70.0/6",80,"55/28",1012.2,1,154.8,"200810"
"70","蘭嶼",24.6,"29.6/5","21.4/7","182.7","24.1/360.0/15","31.4/360.0/15",86,"72/23",977.3,18,152.2,"200810"
"71","馬祖",22.9,"29.6/5","18.2/6","118.2","9.6/10.0/16","19.8/10.0/16",79,"54/27",1006.2,6,133.2,"200810"
"72","澎湖",26.2,"31.5/5","23.2/7","57","9.1/10.0/11","18.8/20.0/11",81,"23043",1012.9,2,179.5,"200810"
"73","彭佳嶼",24.6,"28.8/26","20.0/7","118.8","18.2/10.0/7","24.9/20.0/7",82,"60/28",1003.3,12,150.6,"200810"
"74","蘇澳",25.1,"30.3/31","21.3/29","590.3","12.3/90.0/17","16.8/80.0/17",82,"61/25",1012.4,24,98.1,"200810"
"75","日月潭",21.8,"28.7/10","18.1/19","60.6","5.1/280.0/24","8.7/110.0/29",83,"55/31",903.6,8,155.1,"200810"
"76","臺中",26.8,"33.1/31","21.9/28","20.5","4.5/360.0/27","9.8/250.0/6",76,"48/29",1003.4,2,204.4,"200810"
"77","臺南",28,"33.7/29","22.8/28","33","8.2/250.0/7","15.3/220.0/7",78,"54/29",1010.8,1,216.5,"200810"
"78","臺北",25.9,"32.8/23","21.5/7","88.1","8.8/90.0/16","16.7/80.0/16",76,"48/23",1014.2,9,159.5,"200810"
"79","臺東",26.5,"31.3/25","22.6/8","131.8","6.7/40.0/15","14.7/30.0/15",78,"60/25",1013.4,11,178.3,"200810"
"80","淡水",25.2,"31.7/16","20.2/7","47.4","5.8/150.0/17","13.0/140.0/16",81,"51/20",1012.8,6,157.2,"200810"
"81","梧棲",25.9,"30.8/18","21.2/7","58","12.4/10.0/15","19.8/20.0/11",80,"64/28",1010.7,2,222.8,"200810"
"82","宜蘭",25.3,"30.9/31","21.5/7","315","8.9/70.0/17","14.3/80.0/17",76,"22282",1014.1,20,101.4,"200810"
"83","玉山",6.9,"18.0/1","0/7","56.6","15.3/120.0/15","19.4/220.0/7",73,"14/21",646.4,13,208.3,"200810"
"84","竹子湖",21.3,"29.0/5","17.4/28","366.7","8.1/20.0/12","16.8/10.0/7",91,"66/31",947.1,20,131.2,"200810"
"85","阿里山",9.6,"18.7/7","1.6/11","100.1","3.8/80.0/25","9.0/330.0/27",85,"18/28",766.4,10,153.3,"200811"
"86","鞍部",14.8,"26.9/6","5.4/28","722.8","12.4/350.0/27","21.5/340.0/9",90,"56/15",925.2,22,56.5,"200811"
"87","板橋",21.4,"33.4/2","10.0/29","143.5","6.3/80.0/12","12.2/80.0/12",75,"47/29",1018,12,99.2,"200811"
"88","成功",23.3,"30.8/5","15.9/29","111.5","12.6/10.0/9","22.3/10.0/9",71,"43/30",1012.9,12,98.8,"200811"
"89","嘉義",21.7,"31.8/6","9.7/30","23.3","9.4/360.0/27","17.0/360.0/27",80,"40/29",1013.6,5,185.1,"200811"
"90","大武",24.1,"31.4/7","14.5/29","66.2","7.4/20.0/19","14.1/20.0/19",69,"42/30",1016,9,133.5,"200811"
"91","東吉島",23,"29.0/6","17.1/28","12","21.2/30.0/10","28.7/10.0/10",76,"52/27",1011.5,2,153,"200811"
"92","恆春",24.5,"31.5/5","17.9/29","65.5","12.6/50.0/24","26.6/40.0/25",71,"16407",1012.7,6,147.2,"200811"
"93","新竹",21.5,"31.1/2","10.3/29","67.1","7.7/30.0/18","17.4/150.0/24",73,"45/29",1014.8,6,147.3,"200811"
"94","花蓮",22.7,"30.8/6","12.6/29","80.2","11.5/30.0/9","20.3/10.0/9",73,"45/30",1016.3,10,114.7,"200811"
"95","高雄",23.9,"32.5/3","14.6/30","72","7.8/360.0/27","16.1/350.0/27",72,"30/14",1015.5,5,164.1,"200811"
"96","基隆",21.4,"31.1/5","11.4/29","362.9","13.4/10.0/10","21.6/360.0/11",75,"44/28",1015.7,18,53.9,"200811"
"97","金門",19.6,"28.7/5","9.5/29","62.5","8.0/50.0/25","20.9/40.0/25",69,"28/29",1016.2,2,194.1,"200811"
"98","蘭嶼",22.2,"29.8/3","17.1/29","450.5","28.5/360.0/10","42.3/350.0/11",84,"60/30",978.7,24,81.3,"200811"
"99","馬祖",17.8,"27.3/7","9.1/29","27.8","8.2/360.0/10","19.5/20.0/8",74,"33/27",1010.4,2,165,"200811"
